Year,Date,Hourly Demand Met (in MW)
2025,22-Jan 3pm,203665.85
2025,22-Jan 4pm,200102.81
2025,22-Jan 5pm,200015.93
2025,22-Jan 6pm,199888.96
2025,22-Jan 7pm,201402.78
2025,22-Jan 8pm,190335.13
2025,22-Jan 9pm,179114.77
2025,22-Jan 10pm,168416.38
2025,22-Jan 11pm,162096.25
2025,23-Jan 12am,155659.21
2025,23-Jan 1am,152149.1
2025,23-Jan 2am,148837.83
2025,23-Jan 3am,147607.88
2025,23-Jan 4am,148196.47
2025,23-Jan 5am,155353.93
2025,23-Jan 6am,171353.63
2025,23-Jan 7am,196064.74
2025,23-Jan 8am,210471.25
2025,23-Jan 9am,220057.33
2025,23-Jan 10am,223818.89
2025,23-Jan 11am,221222.63
2025,23-Jan 12pm,214664.06
2025,23-Jan 1pm,207603.6
2025,23-Jan 2pm,202736.9
2025,23-Jan 3pm,203013.85
2025,23-Jan 4pm,199322.69
2025,23-Jan 5pm,199549.42
2025,23-Jan 6pm,199196.92
2025,23-Jan 7pm,201581.62
2025,23-Jan 8pm,190475.59
2025,23-Jan 9pm,179333.52
2025,23-Jan 10pm,168398.47
2025,23-Jan 11pm,161437.73
2025,24-Jan 12am,154708.87
2025,24-Jan 1am,152806.65
2025,24-Jan 2am,149692.96
2025,24-Jan 3am,148660.81
2025,24-Jan 4am,149365.8
2025,24-Jan 5am,156027.89
2025,24-Jan 6am,172861.97
2025,24-Jan 7am,198986.28
2025,24-Jan 8am,214115.27
2025,24-Jan 9am,223736.36
2025,24-Jan 10am,229160.14
2025,24-Jan 11am,225496.91
2025,24-Jan 12pm,220028.56
2025,24-Jan 1pm,212457.12
2025,24-Jan 2pm,204985.63
2025,24-Jan 3pm,204533.94
2025,24-Jan 4pm,201855.3
2025,24-Jan 5pm,198550.71
2025,24-Jan 6pm,201543.08
2025,24-Jan 7pm,201522.54
2025,24-Jan 8pm,189986.99
2025,24-Jan 9pm,178716.55
2025,24-Jan 10pm,169301.1
2025,24-Jan 11pm,163574.69
2025,25-Jan 12am,157277.19
2025,25-Jan 1am,155475.65
2025,25-Jan 2am,151978.04
2025,25-Jan 3am,150842.16
2025,25-Jan 4am,151296.11
2025,25-Jan 5am,159253.1
2025,25-Jan 6am,174844.54
2025,25-Jan 7am,198549.25
2025,25-Jan 8am,212312.31
2025,25-Jan 9am,222176.61
2025,25-Jan 10am,227183.12
2025,25-Jan 11am,225172.62
2025,25-Jan 12pm,219147.59
2025,25-Jan 1pm,211982.26
2025,25-Jan 2pm,206501.94
2025,25-Jan 3pm,206938.9
2025,25-Jan 4pm,201404.78
2025,25-Jan 5pm,199717.51
2025,25-Jan 6pm,198543.54
2025,25-Jan 7pm,201868.91
2025,25-Jan 8pm,191974.11
2025,25-Jan 9pm,181180.76
2025,25-Jan 10pm,170743.05
2025,25-Jan 11pm,164943.19
2025,26-Jan 12am,158842.67
2025,26-Jan 1am,156194.84
2025,26-Jan 2am,152270.07
2025,26-Jan 3am,150587.68
2025,26-Jan 4am,150975.37
2025,26-Jan 5am,159161.92
2025,26-Jan 6am,174273.66
2025,26-Jan 7am,194529.19
2025,26-Jan 8am,203808.9
2025,26-Jan 9am,211635.69
2025,26-Jan 10am,214870.51
2025,26-Jan 11am,211935.12
2025,26-Jan 12pm,207387.75
2025,26-Jan 1pm,201373.51
2025,26-Jan 2pm,193545.8
2025,26-Jan 3pm,189714.03
2025,26-Jan 4pm,186300.81
2025,26-Jan 5pm,181614.7
2025,26-Jan 6pm,179178.13
2025,26-Jan 7pm,182292.6
2025,26-Jan 8pm,173144.54
2025,26-Jan 9pm,164216.76
2025,26-Jan 10pm,154974.33
2025,26-Jan 11pm,150446.82
2025,27-Jan 12am,145585.32
2025,27-Jan 1am,143865.78
2025,27-Jan 2am,141149.08
2025,27-Jan 3am,139930.94
2025,27-Jan 4am,141190.55
2025,27-Jan 5am,149404.78
2025,27-Jan 6am,165978.24
2025,27-Jan 7am,191413.15
2025,27-Jan 8am,208873.77
2025,27-Jan 9am,219972.0
2025,27-Jan 10am,228839.14
2025,27-Jan 11am,226224.43
2025,27-Jan 12pm,223454.91
2025,27-Jan 1pm,217057.55
2025,27-Jan 2pm,210166.0
2025,27-Jan 3pm,210319.88
2025,27-Jan 4pm,202171.21
2025,27-Jan 5pm,202072.69
2025,27-Jan 6pm,200912.52
2025,27-Jan 7pm,202504.55
2025,27-Jan 8pm,192693.09
2025,27-Jan 9pm,181478.16
2025,27-Jan 10pm,170456.17
2025,27-Jan 11pm,165089.4
2025,28-Jan 12am,158384.3
2025,28-Jan 1am,156174.19
2025,28-Jan 2am,153091.25
2025,28-Jan 3am,151776.1
2025,28-Jan 4am,152679.12
2025,28-Jan 5am,160645.59
2025,28-Jan 6am,176507.94
2025,28-Jan 7am,201342.72
2025,28-Jan 8am,213920.42
2025,28-Jan 9am,225915.73
2025,28-Jan 10am,231973.69
2025,28-Jan 11am,229001.69
2025,28-Jan 12pm,211758.48
2025,28-Jan 1pm,216281.97
2025,28-Jan 2pm,210805.62
2025,28-Jan 3pm,211203.39
2025,28-Jan 4pm,209400.81
2025,28-Jan 5pm,205154.03
2025,28-Jan 6pm,203510.13
2025,28-Jan 7pm,203750.8
2025,28-Jan 8pm,193619.88
2025,28-Jan 9pm,182533.39
2025,28-Jan 10pm,172480.79
2025,28-Jan 11pm,166409.44
2025,29-Jan 12am,160211.95
2025,29-Jan 1am,157977.75
2025,29-Jan 2am,155479.68
2025,29-Jan 3am,154061.32
2025,29-Jan 4am,154610.34
2025,29-Jan 5am,163229.42
2025,29-Jan 6am,179981.67
2025,29-Jan 7am,204246.21
2025,29-Jan 8am,216890.51
2025,29-Jan 9am,226150.71
2025,29-Jan 10am,235343.98
2025,29-Jan 11am,230842.97
2025,29-Jan 12pm,225012.86
2025,29-Jan 1pm,217441.56
2025,29-Jan 2pm,211193.47
2025,29-Jan 3pm,211475.94
2025,29-Jan 4pm,209546.66
2025,29-Jan 5pm,204691.0
2025,29-Jan 6pm,201539.84
2025,29-Jan 7pm,202330.99
2025,29-Jan 8pm,192176.86
2025,29-Jan 9pm,182065.23
2025,29-Jan 10pm,171794.15
2025,29-Jan 11pm,167293.89
2025,30-Jan 12am,159831.8
2025,30-Jan 1am,158126.18
2025,30-Jan 2am,155616.77
2025,30-Jan 3am,153640.49
2025,30-Jan 4am,154229.8
2025,30-Jan 5am,162306.32
2025,30-Jan 6am,177195.62
2025,30-Jan 7am,203563.42
2025,30-Jan 8am,214423.31
2025,30-Jan 9am,222670.57
2025,30-Jan 10am,232520.61
2025,30-Jan 11am,231937.0
2025,30-Jan 12pm,224208.3
2025,30-Jan 1pm,217214.49
2025,30-Jan 2pm,211409.94
2025,30-Jan 3pm,212415.77
2025,30-Jan 4pm,209271.94
2025,30-Jan 5pm,205575.7
2025,30-Jan 6pm,203024.61
2025,30-Jan 7pm,201626.62
2025,30-Jan 8pm,194173.71
2025,30-Jan 9pm,183779.36
2025,30-Jan 10pm,173810.02
2025,30-Jan 11pm,169102.02
2025,31-Jan 12am,162175.69
2025,31-Jan 1am,160135.87
2025,31-Jan 2am,156911.68
2025,31-Jan 3am,155703.47
2025,31-Jan 4am,156240.09
2025,31-Jan 5am,164234.82
2025,31-Jan 6am,179290.76
2025,31-Jan 7am,202008.45
2025,31-Jan 8am,211366.02
2025,31-Jan 9am,223036.16
2025,31-Jan 10am,233856.48
2025,31-Jan 11am,233968.04
2025,31-Jan 12pm,230702.38
2025,31-Jan 1pm,223155.95
2025,31-Jan 2pm,215176.43
2025,31-Jan 3pm,214422.72
2025,31-Jan 4pm,210858.44
2025,31-Jan 5pm,205035.04
2025,31-Jan 6pm,201971.15
2025,31-Jan 7pm,201728.49
2025,31-Jan 8pm,192510.26
2025,31-Jan 9pm,182346.29
2025,31-Jan 10pm,173337.88
2025,31-Jan 11pm,168103.11
2025,01-Feb 12am,160928.86
2025,01-Feb 1am,159375.24
2025,01-Feb 2am,156287.0
2025,01-Feb 3am,155029.89
2025,01-Feb 4am,155136.63
2025,01-Feb 5am,162278.65
2025,01-Feb 6am,176022.55
2025,01-Feb 7am,196250.63
2025,01-Feb 8am,207643.94
2025,01-Feb 9am,219153.19
2025,01-Feb 10am,229535.71
2025,01-Feb 11am,229201.62
2025,01-Feb 12pm,223440.26
2025,01-Feb 1pm,215837.7
2025,01-Feb 2pm,209526.05
2025,01-Feb 3pm,209764.82
2025,01-Feb 4pm,206073.33
2025,01-Feb 5pm,203177.92
2025,01-Feb 6pm,200387.04
2025,01-Feb 7pm,200191.72
2025,01-Feb 8pm,190357.79
2025,01-Feb 9pm,179322.63
2025,01-Feb 10pm,170777.77
2025,01-Feb 11pm,167126.6
2025,02-Feb 12am,161463.62
2025,02-Feb 1am,160006.3
2025,02-Feb 2am,156719.91
2025,02-Feb 3am,155189.71
2025,02-Feb 4am,155234.91
2025,02-Feb 5am,162082.97
2025,02-Feb 6am,172585.15
2025,02-Feb 7am,189128.57
2025,02-Feb 8am,202702.23
2025,02-Feb 9am,214028.6
2025,02-Feb 10am,221654.57
2025,02-Feb 11am,219557.05
2025,02-Feb 12pm,213070.98
2025,02-Feb 1pm,206516.84
2025,02-Feb 2pm,200243.43
2025,02-Feb 3pm,197030.75
2025,02-Feb 4pm,191668.75
2025,02-Feb 5pm,187836.88
2025,02-Feb 6pm,187158.76
2025,02-Feb 7pm,190742.75
2025,02-Feb 8pm,180404.81
2025,02-Feb 9pm,171490.64
2025,02-Feb 10pm,163789.72
2025,02-Feb 11pm,160313.49
2025,03-Feb 12am,154631.64
2025,03-Feb 1am,153986.67
